127.0.0.1 - - [16/Jan/2023:11:26:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:07 +0900] "GET /first_project/ HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:14 +0900] "GET /first_project/board HTTP/1.1" 200 4733
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:14 +0900] "GET /first_project/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:14 +0900] "GET /first_project/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:14 +0900] "GET /first_project/resources/js/board/list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:16 +0900] "GET /first_project/member/ HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:16 +0900] "GET /first_project/resources/img/icon/login_icon.png HTTP/1.1" 200 18794
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:18 +0900] "POST /first_project/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:18 +0900] "GET /first_project/main HTTP/1.1" 200 2477
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:21 +0900] "GET /first_project/board/ HTTP/1.1" 200 4730
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:23 +0900] "GET /first_project/board/detail?bno=12 HTTP/1.1" 200 5761
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:23 +0900] "GET /first_project/resources/js/board/detail.js HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:23 +0900] "GET /first_project/resources/js/reply/board_ReplyService.js HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:26:23 +0900] "GET /first_project/boardReply/list?bno=12 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:27:26 +0900] "GET /first_project/board/detail?bno=12 HTTP/1.1" 200 5761
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:27:26 +0900] "GET /first_project/resources/js/reply/board_ReplyService.js HTTP/1.1" 200 1839
